MVA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Stats;;;;;;Times;;;;Clique Tree;;;;;;;;;;;;;;;;;;;;;;;;;
n;e.d.;edges;;randoms;;total;;t_expand_cliques;;t_merge_cliques;;num;;num_edges;;max_clique_edge_distribution;;min_size;;max_size;;avg_size;;sum_size;;min_weight;;max_weight;;avg_weight;;sum_weight;;width;;height;
;;mean;std;mean;std;mean;std;mean;std;mean;std;mean;std;mean;std;mean;std;mean;std;mean;std;mean;std;mean;std;mean;std;mean;std;mean;std;mean;std;mean;std;mean;std
1000;0,1;49949,9;0,316227766;2970,5;61,94845528;0,025172402;0,00378448;0,013464996;0,003369105;0,011707405;0,00277057;158,5;30,94170145;157,5;30,94170145;0,781132177;0,123671484;1;0;279;22,92499849;7,147146752;1,10100156;1102,8;26,93118803;0;0;3,3;0,483045892;0,649567175;0,081564681;102,8;26,93118803;50,3;18,95638268;4,8;1,135292424
1000;0,33;164819,7;37,77138835;3112,8;54,7982157;0,024253085;0,010277121;0,010707286;0,006057328;0,013545799;0,005719715;64,6;26,91220293;63,6;26,91220293;0,867157146;0,150066425;1;0;533,1;49,33659899;19,3039037;9,846801508;1041,1;21,89089105;0;0;3,5;0,971825316;0,622699373;0,15285646;41,1;21,89089105;36,8;22,64116212;2,6;0,966091783
1000;0,5;249663,5;157,0005308;3072,3;53,31051595;0,023696341;0,00806969;0,010066359;0,002933259;0,013629982;0,00553449;37,5;16,16752575;36,5;16,16752575;0,947231728;0,060178482;1;0;687,9;22,64925802;31,75663696;12,01167725;1026,4;13,52528496;0;0;3,3;0,948683298;0,714978814;0,178594197;26,4;13,52528496;32,1;16,8090584;2,2;0,632455532
1000;0,75;353953,4;43459,21711;3123,5;68,08042629;0,02673145;0,008256786;0,012174096;0,004441134;0,014557354;0,005754728;14,6;11,77756813;13,6;11,77756813;0,937995651;0,125872804;75,2;158,899549;815,2;103,9549048;188,1356897;193,3248082;1009,9;8,812238964;0,1;0,316227766;2,4;1,505545305;0,66978107;0,483141046;9,9;8,812238964;13,2;11,5354526;1,4;0,516397779
1000;0,99;488038,8;14055,41149;3089,9;58,47592097;0,022153883;0,003770458;0,009835489;0,002422943;0,012318394;0,002446847;3;1,414213562;2;1,414213562;0,999641141;0,000995992;9,8;15,99861105;988,2;14,95771819;386,98;131,4722157;1001,1;1,286683938;0,2;0,421637021;0,9;0,994428926;0,47;0,480855719;1,1;1,286683938;2;1,414213562;1;0
2500;0,1;312375;0;7474,1;138,5435752;0,061532606;0,013881264;0,030450806;0,009330255;0,031081799;0,007564673;339,6;68,07871261;338,6;68,07871261;0,843951661;0,1174184;1;0;724,8;54,24799023;8,371561813;1,857844437;2733,6;50,26861181;0;0;4,3;0,483045892;0,693817128;0,086644259;233,6;50,26861181;127,7;31,14856872;5,6;0,843274043
2500;0,33;1030826,7;25,74684447;7802,3;115,6374122;0,06578819;0,011268022;0,02739361;0,005731672;0,03839458;0,011292283;112,7;47,61430691;111,7;47,61430691;0,832658385;0,158314908;1,1;0,316227766;1304,9;129,940542;31,83795111;29,44447699;2582,5;36,29279084;0;0;4,3;1,159501809;0,718829333;0,099522155;82,5;36,29279084;71,1;35,05059835;3,2;1,032795559
2500;0,5;1561657,4;389,5696201;7756,4;179,5328506;0,05840874;0,012100263;0,026353892;0,007233185;0,032054848;0,005025007;75,2;50,58721841;74,2;50,58721841;0,945113428;0,056613237;1,1;0,316227766;1717,9;52,24823229;87,94970395;126,863279;2551,3;38,11401026;0;0;3,2;1,135292424;0,6884026;0,193168621;51,3;38,11401026;58,6;39,82796338;2,6;0,699205899
2500;0,75;2266058,6;240856,3024;7768,3;96,08913686;0,066046302;0,012937732;0,027309633;0,004408897;0,038736669;0,014976965;36,3;21,20298721;35,3;21,20298721;0,957415157;0,122143699;112;351,0128203;2083,4;244,008743;190,1549492;373,2007531;2524,1;13,56015405;0;0;3;1,56347192;0,634335093;0,266566299;24,1;13,56015405;34,9;20,64218981;1,2;0,421637021
2500;0,99;3002938,8;146636,3265;7745,1;100,0227196;0,074836372;0,017058072;0,033863883;0,008117516;0,040972488;0,011340539;3,7;1,702938637;2,7;1,702938637;0,998884148;0,002137586;43,2;68,90057249;2449,2;63,12386413;806,9535714;340,6905898;2501,4;1,349897115;0,4;0,699205899;1;0,942809042;0,643333333;0,678060051;1,4;1,349897115;2,7;1,702938637;1;0
5000;0,1;1249750;0;15139,9;262,5708158;0,122645903;0,022004972;0,061142929;0,009790006;0,061502975;0,013299925;539,1;163,7426504;538,1;163,7426504;0,725475415;0,204811866;1;0;1334,3;195,2309459;10,83532363;3,135004733;5388,4;107,3832182;0;0;4,7;0,674948558;0,72784882;0,048509259;388,4;107,3832182;174,2;83,90973987;5,4;0,843274043
5000;0,33;4124172,3;7,846442931;15383,8;170,0658696;0,147748665;0,026660804;0,070242112;0,015912122;0,077506553;0,01304693;289,1;86,39373691;288,1;86,39373691;0,940221435;0,069807665;1;0;2783,5;106,3665048;19,82832379;6,992240261;5202,2;67,42864541;0;0;4,6;0,843274043;0,696385151;0,050984919;202,2;67,42864541;180,2;77,71143202;3,8;0,918936583
5000;0,5;6248310;1382,970796;15580,8;124,0249079;0,144623604;0,036117207;0,065604429;0,015943138;0,079019175;0,022623471;162,9;74,59587418;161,9;74,59587418;0,974664344;0,033946317;1,4;1,264911064;3490;62,15571843;100,17903;216,5065538;5117,2;55,29476568;0;0;4,1;0,737864787;0,757310446;0,161086119;117,2;55,29476568;130,9;63,80952559;2,6;0,516397779
5000;0,75;9236281,5;412087,5828;15510,9;163,6523755;0,133932465;0,013511485;0,058800772;0,008221523;0,075131693;0,011739826;73,8;43,40455685;72,8;43,40455685;0,985937556;0,025825093;191;411,9374278;4267,9;149,7156193;547,6053103;1029,531286;5047,8;28,97431813;0,3;0,674948558;3,2;1,135292424;0,824560071;0,436371681;47,8;28,97431813;72;42,60672873;1,1;0,316227766
5000;0,99;12367993,9;98,45636371;15580,9;206,9001101;0,145814073;0,020487789;0,064639608;0,016281838;0,081174465;0,01064293;6,7;2,750757471;5,7;2,750757471;0,999988446;7,96E-06;4,3;8,028421735;4974;0;957,8810426;638,8479543;5005,1;3,0713732;0,1;0,316227766;2,1;0,737864787;0,895595238;0,227147828;5,1;3,0713732;5,7;2,750757471;1;0
10000;0,1;4999500;0;30173,1;369,452583;0,250563111;0,015305792;0,116309858;0,013724221;0,134253253;0,014139279;1091;222,695108;1090;222,695108;0,876223322;0,118547954;1;0;2953,5;213,8230057;10,272608;2,210068741;10777,7;192,7416521;0;0;5,4;0,843274043;0,709817496;0,053737676;777,7;192,7416521;391,5;102,2059468;5,9;0,737864787
10000;0,33;16498261,8;277,5086785;30982,9;316,552418;0,278428669;0,03544882;0,12360458;0,025235726;0,154824089;0,016968391;373,6;144,596911;372,6;144,596911;0,891945483;0,150190619;1;0;5404;509,2026447;47,96809579;69,23774907;10264,2;107,9431949;0;0;4,7;0,674948558;0,695055554;0,060054407;264,2;107,9431949;192,7;123,7632597;3,6;1,0749677
10000;0,5;24997491;13,92838828;31094,4;164,2485921;0,288416479;0,041836663;0,131624104;0,032788275;0,156792375;0,020611348;274,1;132,411354;273,1;132,411354;0,972267683;0,023981195;1;0;6972;86,23997526;45,85954589;22,82631145;10193,6;99,75882027;0;0;4,8;0,788810638;0,698812657;0,051281898;193,6;99,75882027;210,3;104,7197848;3;0,471404521
10000;0,75;36350472;3618719,528;31176,3;356,5844298;0,304730263;0,040107684;0,123493429;0,019206166;0,181236834;0,030409783;133,4;78,72624862;132,4;78,72624862;0,965320583;0,094827835;399;1258,586509;8377,8;828,0953783;587,9743863;1552,665643;10097,4;54,66707317;0,3;0,948683298;4,5;0,849836586;0,974983907;0,716215736;97,4;54,66707317;125,1;74,01568903;2,1;0,875595036
10000;0,99;48578860,5;2745369,372;31237,3;369,8125802;0,288839644;0,021570195;0,122267117;0,019214923;0,166572527;0,023205807;9,1;5,858517067;8,1;5,858517067;0,998690412;0,004089078;112,7;322,7541376;9847,6;307,861152;1900,593497;1697,432182;10006;5,206833117;0,1;0,316227766;2,4;2,011080417;0,665490196;0,426806093;6;5,206833117;8,1;5,858517067;1;0
