MVA2
;;Stats;;;;;;;;Times;;;;Clique Tree;;;;;;;;;;;;;;;;;;;;;;;;;
n;e.d.;actual_edge_density;;edges;;randoms;;total;;t_expand_cliques;;t_merge_cliques;;max_clique_edge_distribution;;num;;num_edges;;min_size;;max_size;;avg_size;;sum_size;;min_weight;;max_weight;;avg_weight;;sum_weight;;width;;height;
;;mean;std;mean;std;mean;std;mean;std;mean;std;mean;std;mean;std;mean;std;mean;std;mean;std;mean;std;mean;std;mean;std;mean;std;mean;std;mean;std;mean;std;mean;std;mean;std
50;0,1;0,0995102040816328;0,00025814511511571014;121,9;0,31622776601683794;118,3;5,735852159879995;0,0007052705107544;0,0002521991079812549;0,0004022253170874;0,00012525960405136428;0,0003030451936672;0,00013322003407043552;0,6842230050128709;0,08736081690234943;20,9;3,5103022978402048;19,9;3,5103022978402048;1;0,0;13,4;0,8432740427115678;2,6319473878748343;0,34282899748399515;54,1;5,258854966202772;0;0,0;0,7;0,6749485577105528;0,18159789625579098;0,2215269592137349;4,1;5,2588549662027715;7,3;2,359378449224852;3,7;1,3374935098492586
50;0,33;0,326122448979592;0,003315934042708497;399,5;4,06201920231798;117,5;11,834506984051155;0,0007037465765907;0,00017295447910730408;0,0004059574007529;0,00011283273609495587;0,0002977891758379;8,156388024878511e-05;0,897540793857928;0,13286264967359004;10,9;1,7919573407620817;9,9;1,7919573407620817;1,2;0,6324555320336759;27,2;2,2010098692292237;4,759848484848485;1,024447750055532;50,3;0,6749485577105528;0;0,0;0,2;0,42163702135578396;0,04242424242424242;0,10613273160859553;0,3;0,6749485577105528;8,2;2,6161889160464775;1,8;0,6324555320336759
50;0,5;0,49608163265306127;0,0024353361453348654;607,7;2,9832867780352594;115,6;6,552353266829662;0,0011550798945811;0,0004966493656063351;0,0005640111440019;0,00016269858105147266;0,000591068750579;0,0003850168967349946;0,9791227558042224;0,004804114257796052;8,6;0,9660917830792959;7,6;0,9660917830792959;1;0,0;35;0,0;5,880952380952381;0,6672490527500969;50;0,0;0;0,0;0;0,0;0,0;0,0;0;0,0;7,5;1,0801234497346435;1,1;0,31622776601683794
50;0,75;0,7400816326530613;0,003572821238023518;906,6;4,376706016578627;113,9;6,402256546631733;0,0015998509654589;0,0009398119709464993;0,000873836289662;0,0005861370851786261;0,000726014675797;0,0007109254945405385;0,9960498281944821;0,004766253494183228;5,9;1,449137674618944;4,9;1,449137674618944;1;0,0;43;0,0;9,101190476190476;2,990238012032939;50;0,0;0;0,0;0;0,0;0,0;0,0;0;0,0;4,9;1,449137674618944;1;0,0
50;0,99;0,9523265306122448;0,016177093880589456;1166,6;19,816940003721843;116,7;6,600505031182589;0,0007243663388445;0,0002344451911970375;0,0003834093952717;0,00011625734778717742;0,0003409569435728;0,0001252623496176446;0,999822852081488;0,00037346060350378936;2;0,0;1;0,0;1,2;0,4216370213557839;48,8;0,4216370213557839;25,0;0,0;50;0,0;0;0,0;0;0,0;0,0;0,0;0;0,0;1;0,0;1;0,0
100;0,1;0,1;0,0;495;0,0;238,1;9,12201244852862;0,0015525779056914;0,00046590868513714576;0,0009141738939503;0,0002945556284402792;0,0006384040117411;0,0002524013590375024;0,6630303030303031;0,13469966188404361;33,5;2,8382310609877335;32,5;2,8382310609877335;1;0,0;26;2,6666666666666665;3,0837793538161185;0,2385437973506454;102,8;4,917090377222873;0;0,0;0,6;0,5163977794943222;0,08134421260057932;0,13962336515242604;2,8;4,9170903772228725;5,8;5,750362307426086;2,7;1,766981104093143
100;0,33;0,3292323232323233;0,0015765343850608184;1629,7;7,803845206050668;235;8,755950357709132;0,0018125797344125;0,0005204832659990103;0,0010501461421762;0,0003054862613223344;0,0007624335922361999;0,00033728088364356644;0,9689947879201621;0,01858424019806955;23,1;4,175324338699131;22,1;4,175324338699131;1;0,0;56,7;0,6749485577105528;4,507816437611834;1,108642561081953;100;0,0;0;0,0;0;0,0;0,0;0,0;0;0,0;16,1;2,8460498941515415;2,3;0,9486832980505138
100;0,5;0,49511111111111117;0,0027416588606060115;2450,8;13,571211359999438;244,5;13,083067937860243;0,0015489702248145;0,0005624189839842635;0,0008910971766166;0,0004181097197391744;0,0006578730481979;0,00020414975296814572;0,9717906940327585;0,04444520830190618;15,7;3,093002855909879;14,7;3,093002855909879;1;0,0;69,5;1,5811388300841898;6,667923579688286;1,7410794785342911;100;0,0;0;0,0;0;0,0;0,0;0,0;0;0,0;14,3;3,1287200080686173;1,2;0,4216370213557839
