MVA
n;e.d;randoms;;total;;avg_size;;avg_weight;;height;;max_size;;min_size;;num;;num_edges;;sum_size;;sum_weight;;width;
;;mean;std;mean;std;mean;std;mean;std;mean;std;mean;std;mean;std;mean;std;mean;std;mean;std;mean;std;mean;std
5000;0,33;1;0,0;86,90126774311065;8,341219203076632;4117,6;509,47777184093127;4014,8;514,8097383176299;4;1,3333333333333333;4720,6;219,0764453082277;3222,9;1032,903614950484;9,8;5,116422361159971;8,8;5,116422361159971;38277;14228,793132237182;33277;14228,793132237182;2,7;0,8232726023485646
5000;0,49;;;109,51527483463288;7,461456577851767;4105,3;513,3835581490488;4003,6;507,44746854559565;4,4;1,8973665961010275;4650,1;210,86828432301843;2997,6;1148,8162216434407;11,2;8,011103405759894;10,2;8,011103405759894;42836,1;26083,33972502584;37836,1;26083,33972502584;2,4;0,8432740427115678
5000;0,49;1;0,0;113,34805071353912;8,121054630224876;4179,9;300,4893971137381;4087,6;302,7750173166721;4,6;1,3498971154211057;4715,7;129,50508355530553;3161,3;807,964527549185;10,6;4,141926551202418;9,6;4,141926551202418;43548,2;16347,67422669727;38548,2;16347,67422669727;2,2;0,6324555320336759
10000;0,01;;;13,777833199501037;1,1902390103475904;458,1;43,92278578495576;376,2;38,694817338874834;10,7;2,110818693198342;1651,1;337,1575464246813;47,5;43,762617228253916;118;11,42122779934121;116,9;11,26893468296311;53804,3;3930,9704216078194;43804,3;3930,9704216078194;6,3;1,1595018087284057
10000;0,01;1;0,0;12,512703084945679;0,8832467434707462;455,8;38,85242735159685;375,8;28,665891462386675;11;1,5634719199411433;1686,5;292,4537000392826;72,9;28,081033535901852;122,8;20,12074661747035;121,8;20,12074661747035;55416,6;4927,671101939423;45416,6;4927,671101939423;5,7;0,48304589153964794
10000;0,1;;;118,51328213214875;8,166693508772225;4487,8;923,9580077038133;4228,6;866,0314595260895;6,9;1,7919573407620817;7610,9;867,5411549635876;1331,5;641,7537170389692;25,4;11,266469426281391;24,4;11,266469426281391;106845,9;36020,46415411353;96845,9;36020,46415411353;3,5;1,4337208778404378
10000;0,1;1;0,0;105,68741493225097;10,454044134539512;3841,5;978,4365362942839;3621,4;928,5988489235932;7,4;2,065591117977289;7455,5;917,3768461094807;877,7;682,903612850631;33,3;13,548677672255202;32,3;13,548677672255202;118705,9;35261,38120270138;108705,9;35261,38120270138;4,2;1,0327955589886444
10000;0,2;;;223,0380544424057;14,733685712071598;6325,3;684,7770196689332;6111,9;672,5162451569479;7,1;1,5238839267549948;8922,8;404,00847075828057;2145,3;1124,8841965089364;19,2;5,846176338238334;18,2;5,846176338238334;118852,7;28704,40274417846;108852,7;28704,40274417846;3;0,816496580927726
10000;0,2;1;0,0;200,19057245254515;27,708642907243565;6337;1612,3867746639175;6066,9;1618,0062113601418;6,5;3,2058973436118907;8611;1002,6255532351048;3512,3;2337,4413385390253;16,2;9,101892355133874;15,2;9,101892355133874;92225,5;36587,133820055744;82225,5;36587,133820055744;3;1,247219128924647
10000;0,33;;;344,39819984436036;29,045354696614712;7693,1;931,3522367444493;7482,5;911,1324150625845;5,3;2,263232692902394;9455,7;313,6140763564175;4776,9;2162,5890065176764;14,8;8,879439421745296;13,8;8,879439421745296;108753,5;58968,68521182333;98753,5;58968,68521182333;2,7;0,9486832980505138
10000;0,33;1;0,0;322,9491372585297;15,009138784042856;7408,2;539,9968724189264;7211,2;590,46286928138;6,2;0,9189365834726815;9047,6;239,18389020444778;4589,7;1335,860193117362;15,1;4,121757985239902;14,1;4,121757985239902;111676,8;30161,179835455157;101676,8;30161,179835455157;2,5;0,5270462766947299
10000;0,49;;;480,27934510707854;28,39900219846745;8463,1;388,97827702842227;8308,1;448,23492104525326;5;1,5634719199411433;9456,8;208,66123528607585;5586,7;1864,4415934953702;12,4;4,526465385804788;11,4;4,526465385804788;104779,9;37121,38317421196;94779,9;37121,38317421196;2,8;0,6324555320336759
10000;0,49;1;0,0;455,92154891490935;40,820359756611126;8327,9;594,5664059725466;8164,2;624,6872639791673;5,1;2,0789954839350235;9483,5;476,53593778433964;6115;1276,334943848553;11,5;3,3416562759605704;10,5;3,3416562759605704;94766,4;26559,398914717764;84766,4;26559,398914717764;3;0,816496580927726
