MVA
n;e.d;randoms;;total;;avg_size;;avg_weight;;height;;max_size;;min_size;;num;;num_edges;;sum_size;;sum_weight;;width;
;;mean;std;mean;std;mean;std;mean;std;mean;std;mean;std;mean;std;mean;std;mean;std;mean;std;mean;std;mean;std
1000;0,5;3080,8;80,29916285712794;0,017249107360839698;0,0006488484914076818;62,4;98,50121262648948;0;0,0;1,9;0,5676462121975467;691,5;19,17898155099309;14,4;41,67653216539655;39,8;22,57235280406345;248769,7;2881,8671821504117;1029,9;16,875030864169304;29,9;16,875030864169304;33,8;19,67965672690682
1000;0,75;3125,9;60,381104476299356;0,0174692392349242;0,00034892357993017144;159,9;185,77611974273407;0;0,0;1;0,0;828,5;75,29829568677722;63,1;131,64890175513554;17,4;14,492910144082328;356772,7;37311,085677792275;1011;10,198039027185569;11;10,198039027185569;16,4;14,492910144082328
1000;0,99;3047,7;39,23448030042509;0,0170212268829345;0,0003594723888861665;420,4;129,80600910589618;0;0,0;1;0,0;991,2;4,157990967870047;8,4;6,380525927469546;2,7;1,1595018087284057;490801;4049,4234157469878;1001,7;1,8287822299126937;1,7;1,8287822299126937;1,7;1,1595018087284057
2500;0,1;7546,4;160,11606901106322;0,0412853717803958;0,0018918786327032176;8,9;2,0789954839350235;0;0,0;5,5;1,1785113019775793;684,6;70,96352740825544;1;0,0;300,7;62,24155453642776;312374,9;0,31622776601683794;2710,9;43,90254358614468;210,9;43,90254358614468;100,5;29,519296890151175
2500;0,33;7748,3;91,17023149642164;0,0430063486099242;0,0010563721927384082;24,3;16,48602101445006;0;0,0;3,3;0,8232726023485646;1348,9;84,55169358971403;1;0,0;134,1;57,697390659274085;1030825,8;21,022739011735734;2596,2;43,19670769347538;96,2;43,19670769347539;87,2;43,936317551656515
2500;0,5;7743,7;101,3553155981471;0,0430559396743774;0,0005387193585787682;72,8;103,90893448913171;0;0,0;2,4;0,5163977794943222;1725,6;47,14092348126696;1,1;0,31622776601683794;76,6;44,95726365733969;1561829,3;57,180124752108284;2551,3;33,572640977769716;51,3;33,572640977769716;62,3;38,111094914152694
2500;0,75;7776,2;111,61322104083867;0,043250584602356;0,0006471755446900084;416,2;575,7429596230904;0;0,0;1,4;0,5163977794943222;1962;319,0113198966805;300,7;482,80892240673796;33,7;24,49058776119693;2127026,8;346549,9448826645;2524,7;18,487533337059567;24,7;18,487533337059567;31,9;24,428808130292943
2500;0,99;7753,5;93,0223987363617;0,0436890840530395;0,000433082549841661;925,8;377,06875294095164;0;0,0;1;0,0;2425,7;153,61210166447754;69,7;156,10043063503844;3,4;2,0110804171997807;2964790,6;304549,0181166608;2502,1;2,558211180579986;2,1;2,558211180579986;2,4;2,0110804171997807
5000;0,1;15196,5;304,2843151469435;0,0832457065582275;0,0037334918065360374;10,2;2,0976176963403033;0;0,0;5,8;1,0327955589886444;1364,7;140,76461834487307;1;0,0;516,9;92,18875564116627;1249750;0,0;5374,1;48,040376536594486;374,1;48,040376536594486;170,3;49,432445485396194
5000;0,33;15484,3;169,6866720360402;0,0879009008407591;0,0034505328859040785;127,8;306,86435657034747;0;0,0;3,1;0,9944289260117533;2588,5;326,34550539097194;2,2;3,7947331922020555;189,4;116,51246952818207;4123320,3;2484,397313456749;5130,9;84,69612348468691;130,9;84,69612348468691;120,5;81,4974437226919
5000;0,5;15512,3;172,34464824234541;0,0876051664352417;0,0028781472655978048;61;66,14462269233313;0;0,0;2,9;0,8755950357709131;3436,6;145,3151364754852;1;0,0;149,8;75,20756463134396;6248555,4;373,30273684147204;5106;51,1946177726613;106;51,1946177726613;117;61,50519399927854
5000;0,75;15654,7;203,37379378867868;0,0890118598937989;0,0030543818525632692;98,6;66,55524021442639;0;0,0;1,8;0,4216370213557839;4318,6;9,500877152487904;1;0,0;68,2;31,247399891830998;9372559,7;646,6926197541181;5049,7;24,71189547116485;49,7;24,71189547116485;64,7;30,980459791437713
5000;0,99;15556;266,5841539009982;0,0935276985168456;0,01168457415586277;1597,3;876,5756670134073;0;0,0;1;0,0;4957,3;44,487326534893306;30,1;50,58205654621454;4,7;3,497618237219913;12287472,4;213625,364428894;5002,1;2,4698178070456938;2,1;2,4698178070456938;3,7;3,497618237219913
10000;0,1;30197,8;261,11334278006126;0,1673476219177245;0,0026735297410968614;10,4;2,1186998109427604;0;0,0;5,8;1,0327955589886444;2781,8;315,47558454568946;1;0,0;1021,6;221,4333107531726;4999500;0,0;10717;166,59265023136857;717;166,59265023136857;340,8;109,04209177092018
10000;0,33;30877,8;290,8152525420754;0,1756919145584107;0,0032085976230146365;20,6;7,321202087089251;0;0,0;4,4;0,8432740427115678;5518,1;426,786558676192;1;0,0;538,9;151,30429236769487;16498348,5;4,403281604540969;10382,9;120,02448824209907;382,9;120,02448824209907;331,8;96,75719898568559
10000;0,5;31063,4;410,42774435134544;0,1781912326812744;0,003399282758739704;75,3;119,00798292551639;0;0,0;3,2;0,7888106377466155;6916,7;238,02429847951797;1;0,0;316,3;155,60637661884053;24997302;516,9566927917872;10226;106,09534496019239;226;106,09534496019239;245,4;126,97261297005919
10000;0,75;31088,5;277,7001780497969;0,185718560218811;0,015565201378955154;803,2;1594,9926366949508;0;0,0;1,6;0,5163977794943222;8317,6;987,2202501074531;465,9;1414,8184375074813;119,2;87,71519569353737;36218778,8;3855814,1974843885;10082,7;62,34144332268507;82,7;62,34144332268507;114,5;84,34486087222834
